VAR_ROT0.00_SH_Z0.017_Y0.279/Z0.017Y0.279O_IN0.00OUTA1.77_F7_M.50.PMS 
     0.50000000     0.70400000     0.27900000     0.01700000 
                   1                   2                   3                   4                   5                   6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34                  35                  36                  37                  38                  39                  40                  41                  42                  43                  44                  45                  46                  47                  48                  49                  50                  51                  52                  53                  54                  55                  56                  57                  58                  59                  60                  61                  62                  63                  64                  65                  66                  67                  68                  69                  70 
BEGIN TRACK 
                MODE                MASS                 AGE               Dtime               LOG_L              LOG_TE                CONV               QSCHW               QDISC               QINTE                QHEL              QCAROX              LOG_Tc             LOG_RHc              LOG_Pc               QTMAX                XCEN               XHE3C                YCEN                  DM                RATE                   M                 MO1              XC_cen              XO_cen              XN_cen              Rhtmax                Xsup                Ysup               XCsup               XOsup               XNsup             XC13sup                LNUC                  LX                 QH1                 QH2                  LY                QHE1                QHE2                  LC                 QC1                 QC2              LNEUTR             L_EX_LT             lgL_SCT              lgL_AC            lgL_AC_T              L_GRAV               Rstar                 r_x              tau_xy             tau_thy                f_th                 n_c            aL_x_tot                  MU                MU_E                 CI1                 CF1                 CI2                 CF2                 CI3                 CF3                 CI4                 CF4                 CI5                 CF5                MFIT             CPU_SEC
                   9    5.0000000000e-01    1.0000000000e-01    7.5383000000e+04   -1.5552000000e+00    3.5771300000e+00    0.0000000000e+00    3.0444386000e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9876500000e+00    2.0370500000e+00    1.7182160000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    5.8300000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0370000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.5960000000e+00    2.5960000000e+00    0.0000000000e+00    9.3852000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.7912000000e+00    2.7178600000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9853176260e-01   -8.0191419830e-01    3.0444386000e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9853176260e-01    3.3520000000e+01
                  10    5.0000000000e-01    1.0000000000e-01    8.4280000000e+04   -1.5545500000e+00    3.5771300000e+00    0.0000000000e+00    4.5134073000e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9875000000e+00    2.0361900000e+00    1.7181130000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    5.8100000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0360000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.5816000000e+00    2.5816000000e+00    0.0000000000e+00    9.3852000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.7764200000e+00    2.7199300000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9867858630e-01   -8.0191419830e-01    4.5134073000e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9867858630e-01    3.6220000000e+01
                  11    5.0000000000e-01    1.0000000000e-01    9.4228000000e+04   -1.5537200000e+00    3.5771200000e+00    0.0000000000e+00    5.9802116000e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9862800000e+00    2.0336800000e+00    1.7177360000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    6.2600000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0340000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.5200000000e+00    2.5200000000e+00    0.0000000000e+00    9.3852000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.7234100000e+00    2.7226300000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9881072770e-01   -7.9922311250e-01    5.9802116000e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9881072770e-01    4.2400000000e+01
                  12    5.0000000000e-01    1.0000000000e-01    1.0535000000e+05   -1.5529300000e+00    3.5771200000e+00    0.0000000000e+00    8.9073395000e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9860500000e+00    2.0326600000e+00    1.7176080000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    6.3500000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0330000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.5022000000e+00    2.5022000000e+00    0.0000000000e+00    9.0146000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.6194600000e+00    2.7251400000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9892965490e-01   -7.9922311250e-01    8.9073395000e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9892965490e-01    4.5880000000e+01
                  13    5.0000000000e-01    1.0000000000e-01    1.1779000000e+05   -1.5520300000e+00    3.5771200000e+00    0.0000000000e+00    8.9073395000e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9857700000e+00    2.0314600000e+00    1.7174590000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    6.3800000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0310000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.4813000000e+00    2.4813000000e+00    0.0000000000e+00    9.0146000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.6760300000e+00    2.7279800000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9903668940e-01   -7.9922311250e-01    8.9073395000e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9903668940e-01    4.8930000000e+01
                  14    5.0000000000e-01    1.0000000000e-01    1.3169000000e+05   -1.5510200000e+00    3.5771200000e+00    0.0000000000e+00    1.1825847800e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9854400000e+00    2.0301500000e+00    1.7172920000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    6.4200000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0300000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.4578000000e+00    2.4578000000e+00    0.0000000000e+00    9.0146000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.6446200000e+00    2.7311500000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9913302050e-01   -7.9922311250e-01    1.1825847800e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9913302050e-01    5.1670000000e+01
                  15    5.0000000000e-01    1.0000000000e-01    1.4723000000e+05   -1.5498900000e+00    3.5771200000e+00    0.0000000000e+00    1.1825847800e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9850500000e+00    2.0286800000e+00    1.7171040000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    6.4300000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0290000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.4316000000e+00    2.4316000000e+00    0.0000000000e+00    8.7458000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.6231100000e+00    2.7347000000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9921971840e-01   -7.9649546720e-01    1.1825847800e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9921971840e-01    5.4420000000e+01
                  16    5.0000000000e-01    1.0000000000e-01    1.6461000000e+05   -1.5486300000e+00    3.5771200000e+00    0.0000000000e+00    1.4735761900e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9846000000e+00    2.0270600000e+00    1.7168930000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    6.4900000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0270000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.4022000000e+00    2.4022000000e+00    0.0000000000e+00    8.7458000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.6008400000e+00    2.7386700000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9929774660e-01   -7.9649546720e-01    1.4735761900e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9929774660e-01    5.7030000000e+01
                  17    5.0000000000e-01    1.0000000000e-01    1.8404000000e+05   -1.5472200000e+00    3.5771200000e+00    0.0000000000e+00    1.4735761900e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9840800000e+00    2.0252600000e+00    1.7166590000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    6.5300000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0250000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.3698000000e+00    2.3698000000e+00    0.0000000000e+00    8.7458000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.5677600000e+00    2.7431000000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9936797190e-01   -7.9649546720e-01    1.4735761900e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9936797190e-01    6.0120000000e+01
                  18    5.0000000000e-01    1.0000000000e-01    2.0576000000e+05   -1.5456000000e+00    3.5771300000e+00    0.0000000000e+00    1.4735761900e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9832000000e+00    2.0228600000e+00    1.7163260000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    6.8100000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0230000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.3222000000e+00    2.3222000000e+00    0.0000000000e+00    8.7458000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.5275300000e+00    2.7481000000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9943117470e-01   -7.9649546720e-01    1.4735761900e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9943117470e-01    6.6400000000e+01
